Rating_Code,Rating_Name,Rating_Desc,Media_Title,Media_Desc
G,General Audiences,"Suitable for all ages. Content is devoid of any nudity, sex, violence or vulgar language.",Toy Story,"A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room."
PG,Parental Guidance Suggested,"Some material may not be suitable for children. Parents urged to give ""parental guidance"". May contain some material parents might not like for their young children.",Groundhog day,"A cynical TV weatherman finds himself reliving the same day over and over again when he goes on location to the small town of Punxsutawney to film a report about their annual Groundhog Day."
PG-13,Parents Strongly Cautioned,"Some material may be inappropriate for children under 13. Parents are urged to be cautious. Some material may be inappropriate for pre-teenagers.",Indiana Jones and the Last Crusade,"The intrepid explorer Indiana Jones sets out to rescue his father, a medievalist who has vanished while searching for the Holy Grail."
R,Restricted,"Children under 17 require accompanying parent or adult guardian. Contains some adult material. Parents are urged to learn more about the film before taking their young children with them.",The Godfather,"Widely regarded as one of the greatest films of all time, this mob drama, based on Mario Puzo's novel of the same name, focuses on the powerful Italian-American crime family of Don Vito Corleone."
PG,Parental Guidance Suggested,Some material may not be suitable for children,E.T. the Extra-Terrestrial,"A troubled child summons the courage to help a friendly alien escape Earth and return to his home world."
PG,Parental Guidance Suggested,Some material may not be suitable for children,The Lion King,"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?"
